,record_type,school_name,district_name,county_name,grade_11_enroll,grade_11_takers,grade_11_erw_bm_num,grade_11_erw_bm_pct,grade_11_maths_bm_num,grade_11_maths_bm_pct,grade_11_total_bm_num,grade_11_total_bm_pct,grade_12_enroll,grade_12_takers,grade_12_erw_bm_num,grade_12_erw_bm_pct,grade_12_maths_bm_num,grade_12_maths_bm_pct,grade_12_total_bm_num,grade_12_total_bm_pct
162,S,Redlands East Valley High,Redlands Unified,San Bernardino,503.0,426.0,313.0,73.47,230.0,53.99,219.0,51.41,545.0,376.0,271.0,72.07,201.0,53.46,194.0,51.6
163,S,Grove,Redlands Unified,San Bernardino,32.0,15.0,14.0,93.33,10.0,66.67,10.0,66.67,31.0,19.0,16.0,84.21,14.0,73.68,13.0,68.42
164,S,Ramona High,Ramona City Unified,San Diego,361.0,92.0,81.0,88.04,70.0,76.09,68.0,73.91,352.0,113.0,91.0,80.53,70.0,61.95,66.0,58.41
167,S,Palos Verdes Peninsula High,Palos Verdes Peninsula Unified,Los Angeles,512.0,273.0,263.0,96.34,256.0,93.77,250.0,91.58,609.0,260.0,249.0,95.77,228.0,87.69,225.0,86.54
168,S,San Marin High,Novato Unified,Marin,265.0,130.0,116.0,89.23,108.0,83.08,105.0,80.77,266.0,110.0,102.0,92.73,78.0,70.91,78.0,70.91
169,S,Twentynine Palms High,Morongo Unified,San Bernardino,191.0,46.0,43.0,93.48,29.0,63.04,28.0,60.87,172.0,29.0,26.0,89.66,13.0,44.83,13.0,44.83
170,S,KIPP San Francisco College Preparatory,San Francisco Unified,San Francisco,87.0,24.0,14.0,58.33,12.0,50.0,10.0,41.67,53.0,23.0,14.0,60.87,8.0,34.78,7.0,30.43
172,S,Clovis West High,Clovis Unified,Fresno,491.0,197.0,170.0,86.29,135.0,68.53,132.0,67.01,486.0,173.0,154.0,89.02,124.0,71.68,121.0,69.94
173,S,Downey High,Downey Unified,Los Angeles,973.0,874.0,507.0,58.01,286.0,32.72,263.0,30.09,1050.0,396.0,285.0,71.97,196.0,49.49,184.0,46.46
174,S,Rancho Dominguez Preparatory,Los Angeles Unified,Los Angeles,127.0,131.0,46.0,35.11,21.0,16.03,18.0,13.74,129.0,40.0,16.0,40.0,9.0,22.5,7.0,17.5
175,S,Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,115.0,60.0,15.0,25.0,4.0,6.67,4.0,6.67,128.0,52.0,15.0,28.85,8.0,15.38,7.0,13.46
176,S,Livingston High,Merced Union High,Merced,325.0,82.0,56.0,68.29,30.0,36.59,28.0,34.15,291.0,91.0,57.0,62.64,31.0,34.07,30.0,32.97
177,S,Hamilton High,Hemet Unified,Riverside,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,52.0,19.0,36.54,12.0,23.08,11.0,21.15
179,S,Charter School of San Diego,San Diego Unified,San Diego,181.0,20.0,19.0,95.0,11.0,55.0,11.0,55.0,499.0,23.0,18.0,78.26,10.0,43.48,10.0,43.48
180,S,Weston Ranch High,Manteca Unified,San Joaquin,291.0,38.0,30.0,78.95,19.0,50.0,19.0,50.0,285.0,104.0,71.0,68.27,36.0,34.62,35.0,33.65
181,S,Bret Harte Union High,Bret Harte Union High,Calaveras,141.0,35.0,35.0,100.0,29.0,82.86,29.0,82.86,152.0,46.0,42.0,91.3,29.0,63.04,29.0,63.04
182,S,Pierce High,Pierce Joint Unified,Colusa,103.0,38.0,26.0,68.42,17.0,44.74,17.0,44.74,103.0,21.0,11.0,52.38,3.0,14.29,3.0,14.29
183,S,North Monterey County High,North Monterey County Unified,Monterey,282.0,68.0,44.0,64.71,26.0,38.24,24.0,35.29,297.0,110.0,63.0,57.27,30.0,27.27,30.0,27.27
184,S,Literacy First Charter,San Diego County Office of Education,San Diego,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,S,Morro Bay High,San Luis Coastal Unified,San Luis Obispo,181.0,51.0,46.0,90.2,43.0,84.31,42.0,82.35,197.0,49.0,46.0,93.88,37.0,75.51,37.0,75.51
187,S,Minarets High,Chawanakee Unified,Madera,42.0,20.0,14.0,70.0,6.0,30.0,5.0,25.0,36.0,20.0,13.0,65.0,7.0,35.0,7.0,35.0
190,S,Sheldon High,Elk Grove Unified,Sacramento,633.0,226.0,189.0,83.63,146.0,64.6,138.0,61.06,614.0,217.0,170.0,78.34,115.0,53.0,111.0,51.15
192,S,Orange Glen High,Escondido Union High,San Diego,438.0,124.0,81.0,65.32,50.0,40.32,47.0,37.9,497.0,127.0,83.0,65.35,40.0,31.5,38.0,29.92
193,S,Steele Canyon High,Grossmont Union High,San Diego,519.0,215.0,193.0,89.77,151.0,70.23,148.0,68.84,511.0,219.0,188.0,85.84,152.0,69.41,142.0,64.84
